Path,File,Date Acquired,Sample,Misc
D:\MassHunter\GCMS\1\data\20181213\,H501.D,13 Dec 2018  19:03    ,H501, 
TIC: H501.D\data.ms,,,,
4.446,13756,,,
4.45,13779,,,
4.453,13223,,,
4.456,13528,,,
4.46,13218,,,
4.463,12335,,,
4.466,12710,,,
4.47,12944,,,
4.473,12555,,,
4.477,12956,,,
4.48,13300,,,
4.483,12949,,,
4.487,12422,,,
4.49,12980,,,
4.494,13202,,,
4.497,13305,,,
4.5,12787,,,
4.504,13529,,,
4.507,13115,,,
4.51,12564,,,
4.514,12708,,,
4.517,12680,,,
4.521,13044,,,
4.524,12990,,,
4.527,12488,,,
4.531,12774,,,
4.534,12762,,,
4.537,12828,,,
4.541,12118,,,
4.544,11566,,,
4.548,12692,,,
4.551,12574,,,
4.554,12553,,,
4.558,13148,,,
4.561,13070,,,
4.564,12489,,,
4.568,12971,,,
4.571,12721,,,
4.575,12581,,,
4.578,13083,,,
4.581,12370,,,
4.585,12766,,,
4.588,12741,,,
4.591,12511,,,
4.595,13875,,,
4.598,16662,,,
4.602,22013,,,
4.605,27153,,,
4.608,29617,,,
4.612,30547,,,
4.615,32700,,,
4.618,30647,,,
4.622,28977,,,
4.625,27641,,,
4.628,26342,,,
4.632,23943,,,
4.635,22998,,,
4.639,20987,,,
4.642,21203,,,
4.645,19386,,,
4.649,17902,,,
4.652,16639,,,
4.656,17019,,,
4.659,16171,,,
4.662,14843,,,
4.666,14946,,,
4.669,13859,,,
4.672,14182,,,
4.676,13667,,,
4.679,13715,,,
4.683,13025,,,
4.686,13376,,,
4.689,13207,,,
4.693,13468,,,
4.696,13686,,,
4.699,12064,,,
4.703,12684,,,
4.706,13482,,,
4.71,12552,,,
4.713,11963,,,
4.716,12555,,,
4.72,12288,,,
4.723,12727,,,
4.726,12490,,,
4.73,12190,,,
4.733,11918,,,
4.737,12148,,,
4.74,12214,,,
4.743,11998,,,
4.747,13895,,,
4.75,15606,,,
4.753,17686,,,
4.757,19458,,,
4.76,21486,,,
4.764,23152,,,
4.767,22500,,,
4.77,22372,,,
4.774,20814,,,
4.777,19771,,,
4.78,20756,,,
4.784,19004,,,
4.787,18803,,,
4.791,17722,,,
4.794,16517,,,
4.797,16827,,,
4.801,16030,,,
4.804,15814,,,
4.807,15405,,,
4.811,14198,,,
4.814,14649,,,
4.818,14937,,,
4.821,14511,,,
4.824,13709,,,
4.828,12865,,,
4.831,14516,,,
4.834,13825,,,
4.838,12918,,,
4.841,13236,,,
4.845,13471,,,
4.848,13239,,,
4.851,13142,,,
4.855,13465,,,
4.858,13071,,,
4.861,12924,,,
4.865,12757,,,
4.868,13046,,,
4.872,13741,,,
4.875,12754,,,
4.878,12598,,,
4.882,12528,,,
4.885,13064,,,
4.888,12145,,,
4.892,13352,,,
4.895,12647,,,
4.899,13282,,,
4.902,13139,,,
4.905,12550,,,
4.909,12423,,,
4.912,12441,,,
4.915,11733,,,
4.919,12199,,,
4.922,12630,,,
4.926,12828,,,
4.929,12287,,,
4.932,11803,,,
4.936,12759,,,
4.939,11790,,,
4.942,12780,,,
4.946,12061,,,
4.949,12820,,,
4.953,11423,,,
4.956,12381,,,
4.959,12117,,,
4.963,11653,,,
4.966,11750,,,
4.969,11811,,,
4.973,11795,,,
4.976,12217,,,
4.98,11992,,,
4.983,12190,,,
4.986,11593,,,
4.99,11534,,,
4.993,11971,,,
4.996,12148,,,
5,12340,,,
5.003,12062,,,
5.007,11829,,,
5.01,12887,,,
5.013,12196,,,
5.017,11566,,,
5.02,12441,,,
5.023,12455,,,
5.027,11620,,,
5.03,11929,,,
5.034,12401,,,
5.037,11254,,,
5.04,12343,,,
5.044,11742,,,
5.047,11921,,,
5.05,12071,,,
5.054,12022,,,
5.057,11245,,,
5.061,12277,,,
5.064,12393,,,
5.067,11559,,,
5.071,12840,,,
5.074,13300,,,
5.077,12688,,,
5.081,12175,,,
5.084,12643,,,
5.088,13394,,,
5.091,12689,,,
5.094,12923,,,
5.098,12435,,,
5.101,12424,,,
5.104,11451,,,
5.108,12247,,,
5.111,11241,,,
5.115,12315,,,
5.118,11219,,,
5.121,11172,,,
5.125,11494,,,
5.128,11852,,,
5.131,11878,,,
5.135,11540,,,
5.138,11567,,,
5.142,11565,,,
5.145,11500,,,
5.148,11590,,,
5.152,11079,,,
5.155,11320,,,
5.158,11476,,,
5.162,11088,,,
5.165,11776,,,
5.169,11621,,,
5.172,11154,,,
5.175,10901,,,
5.179,12135,,,
5.182,11451,,,
5.185,11436,,,
5.189,11279,,,
5.192,11753,,,
5.196,11258,,,
5.199,10981,,,
5.202,11568,,,
5.206,11988,,,
5.209,10757,,,
5.212,11069,,,
5.216,10585,,,
5.219,11208,,,
5.223,11429,,,
5.226,11550,,,
5.229,11338,,,
5.233,11449,,,
5.236,11528,,,
5.239,11356,,,
5.243,11200,,,
5.246,11779,,,
5.25,11054,,,
5.253,12124,,,
5.256,11136,,,
5.26,10937,,,
5.263,11216,,,
5.266,12080,,,
5.27,11829,,,
5.273,11399,,,
5.277,11696,,,
5.28,11347,,,
5.283,12054,,,
5.287,11781,,,
5.29,11218,,,
5.293,11593,,,
5.297,12017,,,
5.3,11983,,,
5.304,10942,,,
5.307,11323,,,
5.31,12157,,,
5.314,11415,,,
5.317,12137,,,
5.32,10935,,,
5.324,11350,,,
5.327,11283,,,
5.331,12185,,,
5.334,11498,,,
5.337,11857,,,
5.341,10804,,,
5.344,11214,,,
5.347,11610,,,
5.351,11675,,,
5.354,11181,,,
5.358,11343,,,
5.361,11286,,,
5.364,11310,,,
5.368,11388,,,
5.371,11512,,,
5.374,11681,,,
5.378,11204,,,
5.381,10908,,,
5.385,10651,,,
5.388,11130,,,
5.391,11695,,,
5.395,11374,,,
5.398,11590,,,
5.401,10839,,,
5.405,11237,,,
5.408,13308,,,
5.412,14952,,,
5.415,15322,,,
5.418,16936,,,
5.422,16295,,,
5.425,16058,,,
5.428,15234,,,
5.432,16093,,,
5.435,15982,,,
5.439,14683,,,
5.442,14838,,,
5.445,15661,,,
5.449,15609,,,
5.452,14942,,,
5.455,15262,,,
5.459,15043,,,
5.462,15651,,,
5.466,14547,,,
5.469,15135,,,
5.472,14397,,,
5.476,14318,,,
5.479,13928,,,
5.482,13819,,,
5.486,12927,,,
5.489,12896,,,
5.493,12187,,,
5.496,11591,,,
5.499,11708,,,
5.503,10725,,,
5.506,10940,,,
5.509,11227,,,
5.513,11196,,,
5.516,11210,,,
5.52,11168,,,
5.523,11396,,,
5.526,10939,,,
5.53,11003,,,
5.533,11060,,,
5.536,11112,,,
5.54,10839,,,
5.543,11318,,,
5.547,10533,,,
5.55,11352,,,
5.553,11435,,,
5.557,11483,,,
5.56,10849,,,
5.563,11634,,,
5.567,11338,,,
5.57,11255,,,
5.574,11316,,,
5.577,10759,,,
5.58,11781,,,
5.584,11126,,,
5.587,10823,,,
5.59,10447,,,
5.594,10796,,,
5.597,11574,,,
5.601,11093,,,
5.604,11390,,,
5.607,11060,,,
5.611,11102,,,
5.614,11247,,,
5.617,10770,,,
5.621,10906,,,
5.624,10024,,,
5.628,10909,,,
5.631,11327,,,
5.634,10805,,,
5.638,11709,,,
5.641,10628,,,
5.644,11363,,,
5.648,11160,,,
5.651,11236,,,
5.655,10540,,,
5.658,10983,,,
5.661,11145,,,
5.665,11913,,,
5.668,12593,,,
5.671,12573,,,
5.675,13854,,,
5.678,14604,,,
5.682,17059,,,
5.685,18431,,,
5.688,19302,,,
5.692,20011,,,
5.695,20908,,,
5.698,21141,,,
5.702,21946,,,
5.705,20799,,,
5.709,19840,,,
5.712,18568,,,
5.715,18023,,,
5.719,16773,,,
5.722,15040,,,
5.725,13915,,,
5.729,12649,,,
5.732,11917,,,
5.736,12750,,,
5.739,11688,,,
5.742,10920,,,
5.746,11030,,,
5.749,10778,,,
5.752,11265,,,
5.756,10372,,,
5.759,10812,,,
5.763,10886,,,
5.766,11127,,,
5.769,10975,,,
5.773,11328,,,
5.776,11264,,,
5.779,10687,,,
5.783,11183,,,
5.786,10768,,,
5.79,10432,,,
5.793,10653,,,
5.796,11805,,,
5.8,10657,,,
5.803,11575,,,
